trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.22, 'e': 0.8653836657164765}",25,14,4.112305082939228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.22, 'e': 0.8640987597877132}",20,10,-15.106800068271937,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.22, 'e': 0.8628119403696508}",25,10,-13.461867272743477,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.22, 'e': 0.8615231988880042}",30,10,-131.35462705560366,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
117,False,"{'a': 0.22, 'e': 0.8602325267042612}",20,10,4.216671573639516,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.22, 'e': 0.8589399151150069}",20,10,-58.91035321298784,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.22, 'e': 0.857645355351239}",25,10,-60.20992453560175,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.22, 'e': 0.8563488385776737}",25,10,-65.30800958567427,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.22, 'e': 0.8550503558920425}",25,10,-42.7223541295053,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",0
122,False,"{'a': 0.22, 'e': 0.8537498983243783}",25,11,-53.3596695252559,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 0}",1
123,False,"{'a': 0.22, 'e': 0.8524474568362932}",20,10,-29.869709260792018,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.22, 'e': 0.8511430223202453}",30,10,-65.81402451036519,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
125,False,"{'a': 0.22, 'e': 0.8498365855987957}",25,10,-57.68205001384512,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.22, 'e': 0.8485281374238552}",25,10,-82.5065520649899,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",0
127,False,"{'a': 0.22, 'e': 0.8472176684759205}",20,10,-65.9032838799964,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.22, 'e': 0.8459051693632995}",25,10,-67.87464031981861,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.22, 'e': 0.8445906306213266}",20,10,-8.78615214990625,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.22, 'e': 0.8432740427115658}",20,10,2.731474196559782,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.22, 'e': 0.8419553960210039}",25,10,-28.53166217067637,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.22, 'e': 0.8406346808612307}",20,10,-51.198988014597255,"{0: 5, 1: 2, 2: 1, 3: 2, 4: 0}",0
133,False,"{'a': 0.22, 'e': 0.8393118874676094}",25,10,-64.9325909074707,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",0
134,False,"{'a': 0.22, 'e': 0.8379870059984337}",20,10,-93.18095526532838,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 2}",0
135,False,"{'a': 0.22, 'e': 0.8366600265340736}",20,10,-36.91126478807943,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",0
